beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Samuel Adams Tropic of Yuzu,Boston Beer Company,Pale Wheat Ale - American,Pale Wheat Ale - American,6.0,20,Tijuana Flats,Four Corners,FL,United States,28.2613,-81.6178,3.75,2017-06-23 19:55:16,United States,Boston,MA,88,30
Samuel Adams Summer Ale,Boston Beer Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.3,7,Champions Gate Sign,Kissimmee,FL,United States,28.2614,-81.6162,2.75,2017-06-23 20:26:37,United States,Boston,MA,88,30
Samuel Adams Berliner Weisse,Boston Beer Company,Sour - Berliner Weisse,Sour,4.8,15,Omni Orlando Resort at ChampionsGate,Champions Gate,FL,United States,28.2616,-81.6273,3.5,2017-06-23 20:27:25,United States,Boston,MA,88,30
Altenmünster Oktoberfest,Allgäuer Brauhaus,Festbier,Festbier,5.5,0,Germany Pavilion,Lake Buena Vista,FL,United States,28.3683,-81.5471,3.75,2017-06-24 18:35:44,Germany,Kempten,Kempten,88,30
Samuel Adams Golden Hour,Boston Beer Company,Lager - Helles,Lager - Helles,5.0,20,Champions Gate Car Wash,Kissimmee,FL,United States,28.2604,-81.6156,3.25,2017-06-25 12:40:51,United States,Boston,MA,88,30
Samuel Adams Boston Lager,Boston Beer Company,Lager - Vienna,Lager - Vienna,5.0,30,Publix,Champions Gate,FL,United States,28.2629,-81.6193,2.75,2017-06-25 13:31:01,United States,Boston,MA,88,30
Tapped Maple,Angry Orchard Cider Company,Cider,Cider,5.0,0,The Electric Chair Barber Shop,Miami,FL,United States,25.7129,-80.4484,2.0,2017-06-26 20:02:11,United States,Cincinnati,OH,89,30
Traditional Dry,Angry Orchard Cider Company,Cider,Cider,5.5,0,Old World Pizza,Miami,FL,United States,25.713,-80.4487,2.5,2017-06-26 23:01:33,United States,Cincinnati,OH,89,30
Easy Apple,Angry Orchard Cider Company,Cider,Cider,4.2,10,Eden Lakes Park,Miami,FL,United States,25.7269,-80.4535,3.0,2017-06-26 23:02:09,United States,Cincinnati,OH,89,30
Green Apple,Angry Orchard Cider Company,Cider,Cider,5.0,10,Old World Pizza,Miami,FL,United States,25.713,-80.4487,3.0,2017-06-27 14:47:28,United States,Cincinnati,OH,89,30
Stone Dry,Angry Orchard Cider Company,Cider,Cider,5.5,10,Old World Pizza,Miami,FL,United States,25.713,-80.4487,2.75,2017-06-27 16:44:56,United States,Cincinnati,OH,89,30
